題目,正確答案,選項一,選項二,選項三,選項四
問題#29⼀家公司提供使⽤ UDP 連線的網際網路協定語⾳ (VoIP) 服務。本服務由在 Auto Scaling 群組中執⾏的 Amazon EC2 執⾏個體組成。該公司在多個 AWS 區域進⾏了部署。公司需要將⽤⼾路由到延遲最低的區域。該公司還需要區域之間的⾃動故障轉移。哪種解決⽅案可以滿⾜這些要求？,, 部署網路負載平衡器 (NLB) 和關聯的⽬標群組。將⽬標群組與 Auto Scaling 群組關聯。使⽤ NLB 作為每個區域中的 AWS GlobalAccelerator 終端節點。, 部署應⽤程式負載平衡器 (ALB) 和關聯的⽬標群組。將⽬標群組與 Auto Scaling 群組關聯。使⽤ ALB 作為每個區域中的 AWSGlobal Accelerator 終端節點。, 部署網路負載平衡器 (NLB) 和關聯的⽬標群組。將⽬標群組與 Auto Scaling 群組關聯。建立指向每個 NLB 別名的 Amazon Route53 延遲記錄。建立使⽤延遲記錄作為來源的 Amazon CloudFront 分配。, 部署應⽤程式負載平衡器 (ALB) 和關聯的⽬標群組。將⽬標群組與 Auto Scaling 群組關聯。建立指向每個 ALB 別名的 AmazonRoute 53 加權記錄。部署使⽤加權記錄作為來源的 Amazon CloudFront 分配。
問題＃30開發團隊每⽉在啟⽤ Performance Insights 的通⽤ Amazon RDS for MySQL 資料庫執⾏個體上執⾏資源密集型測試。測試每⽉⼀次，持續 48 ⼩時，並且是唯⼀使⽤資料庫的過程。該團隊希望在不降低資料庫執⾏個體的計算和記憶體屬性的情況下降低執⾏測試的成本。哪種解決⽅案最經濟有效率地滿⾜這些要求？,, 測試完成後停⽌資料庫執⾏個體。需要時重新啟動資料庫執⾏個體。, 對資料庫執⾏個體使⽤ Auto Scaling 策略，以便在測試完成時⾃動擴充。, 測試完成後建立快照。終⽌資料庫執⾏個體並在需要時復原快照。, 測試完成後將資料庫執⾏個體修改為低容量實例。需要時再次修改資料庫實例。
問題#31⼀家在 AWS 上託管其 Web 應⽤程式的公司希望確保所有 Amazon EC2 執⾏個體的安全。Amazon RDS 資料庫執⾏個體。AmazonRedshift 叢集配置有標籤。該公司希望最⼤限度地減少配置和操作此檢查的⼯作量。解決⽅案架構師應該做什麼來實現這個⽬標？,, 使⽤ AWS Cong 規則定義和偵測未正確標記的資源。, 使⽤ Cost Explorer 顯⽰未正確標記的資源。⼿動標記這些資源。, 編寫 API 呼叫來檢查所有資源是否正確分配標籤。定期在 EC2 執⾏個體上執⾏程式碼。, 編寫 API 呼叫來檢查所有資源是否正確分配標籤。透過 Amazon CloudWatch 安排 AWS Lambda 函數來定期執⾏程式碼。
問題#32開發團隊需要託管⼀個可供其他團隊存取的網站。網站內容由 HTML、CSS、客⼾端 JavaScript 和圖像組成。哪⼀種⽅法託管網站最經濟有效？,, 將網站容器化並將其託管在 AWS Fargate 中。, 建立⼀個 Amazon S3 儲存桶並在其中託管網站。, 在 Amazon EC2 執⾏個體上部署 Web 伺服器來託管網站。, 透過使⽤ Express.js 框架的 AWS Lambda ⽬標配置 Application Load Balancer。
問題＃33⼀家公司在 AWS 上運⾏線上市場 Web 應⽤程式。該應⽤程式在⾼峰時段為數⼗萬⽤⼾提供服務。該公司需要⼀個可擴展、近乎即時的解決⽅案，以便與其他幾個內部應⽤程式共享數百萬筆⾦融交易的詳細資訊。在將交易儲存到文件資料庫中以進⾏低延遲檢索之前，還需要對交易進⾏處理以刪除敏感資料。解決⽅案架構師應該建議什麼來滿⾜這些要求？,, 將交易資料儲存到 Amazon DynamoDB 中。在 DynamoDB 中設定規則，以在寫入時從每個交易中刪除敏感資料。使⽤ DynamoDBStreams 與其他應⽤程式共⽤交易資料。, 將交易資料串流傳輸到 Amazon Kinesis Data Firehose，以將資料儲存在 Amazon DynamoDB 和 Amazon S3 中。使⽤ AWS Lambda與 Kinesis Data Firehose 整合來刪除敏感資料。其他應⽤程式可以使⽤ Amazon S3 中儲存的資料。, 將事務資料串流傳輸到 Amazon Kinesis Data Streams。使⽤ AWS Lambda 整合從每筆交易中刪除敏感數據，然後將交易數據儲存在 Amazon DynamoDB 中。其他應⽤程式可以使⽤ Kinesis 資料流中的事務資料。, 將⼤量交易資料儲存為 Amazon S3 中。在更新 Amazon S3 中的檔案之前，使⽤ AWS Lambda 處理每個檔案並刪除敏感資料。然後，Lambda 函數將資料儲存在 Amazon DynamoDB 中。其他應⽤程式可以使⽤儲存在 Amazon S3 中的交易檔案。
問題＃34⼀家公司在 AWS 上託管其多層應⽤程式。為了合規性、治理、稽核和安全性，公司必須追蹤其 AWS 資源的配置變更並記錄對這些資源進⾏的 API 呼叫的歷史記錄。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 使⽤ AWS CloudTrail 追蹤配置變更並使⽤ AWS Cong 記錄 API 呼叫。, 使⽤ AWS Cong 追蹤配置更改，並使⽤ AWS CloudTrail 記錄 API 呼叫。, 使⽤ AWS Cong 追蹤配置更改，使⽤ Amazon CloudWatch 記錄 API 呼叫。, 使⽤ AWS CloudTrail 追蹤配置更改，並使⽤ Amazon CloudWatch 記錄 API 呼叫。
問題#35⼀家公司正準備在 AWS 雲端中啟動⾯向公眾的 Web 應⽤程式。此架構由彈性負載平衡器 (ELB) 後⾯的 VPC 內的 Amazon EC2 執⾏個體組成。DNS 使⽤第三⽅服務。公司的解決⽅案架構師必須建議解決⽅案來偵測和防範⼤規模 DDoS 攻擊。哪種解決⽅案滿⾜這些要求？,, 在帳⼾上啟⽤ Amazon GuardDuty。, 在 EC2 執⾏個體上啟⽤ Amazon Inspector。, 啟⽤ AWS Shield 並向其指派 Amazon Route 53。, 啟⽤ AWS Shield Advanced 並向其指派 ELB。
問題＃36⼀家公司正在 AWS 雲端中建立應⽤程式。該應⽤程式將資料儲存在兩個 AWS 區域的 Amazon S3 儲存桶中。公司必須使⽤ AWS KeyManagement Service (AWS KMS) 客⼾託管⾦鑰來加密儲存在 S3 儲存桶中的所有資料。兩個 S3 儲存桶中的資料必須使⽤相同的 KMS ⾦鑰進⾏加密和解密。資料和密鑰必須儲存在兩個區域中的每⼀個中。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 在每個區域建立⼀個 S3 儲存桶。配置 S3 儲存桶以使⽤具有 Amazon S3 託管加密⾦鑰 (SSE-S3) 的伺服器端加密。配置 S3 儲存桶之間的複製。, 建立客⼾管理的多區域 KMS ⾦鑰。在每個區域建立⼀個 S3 儲存桶。配置 S3 儲存桶之間的複製。配置應⽤程式以使⽤具有客⼾端加密的 KMS ⾦鑰。, 在每個區域中建立客⼾管理的 KMS ⾦鑰和 S3 儲存桶。配置 S3 儲存桶以使⽤具有 Amazon S3 託管加密⾦鑰 (SSE-S3) 的伺服器端加密。配置 S3 儲存桶之間的複製。, 在每個區域中建立客⼾管理的 KMS ⾦鑰和 S3 儲存桶。配置 S3 儲存桶以使⽤具有 AWS KMS ⾦鑰的伺服器端加密 (SSE-KMS)。配置 S3 儲存桶之間的複製。
問題#37⼀家公司最近在其 AWS 帳⼾中的 Amazon EC2 執⾏個體上推出了各種新⼯作負載。公司需要製定⼀項策略來遠端安全地存取和管理實例。該公司需要實施⼀個可重複的流程，與原⽣ AWS 服務搭配使⽤並遵循 AWS 架構完善的框架。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 使⽤EC2串⾏控制台直接存取每個實例的終端介⾯進⾏管理。, 將適當的 IAM ⾓⾊附加到每個現有實例和新實例。使⽤ AWS Systems Manager 會話管理器建立遠端 SSH 會話。, 建立管理 SSH ⾦鑰對。將公鑰載入到每個 EC2 執⾏個體中。在公有⼦網路中部署堡壘主機，為每個實例的管理提供隧道。, 建立 AWS 站點到站點 VPN 連線。指⽰管理員使⽤本機電腦透過 VPN 隧道使⽤ SSH ⾦鑰直接連線到執⾏個體。
問題#38⼀家公司在 Amazon S3 上託管靜態網站，並使⽤ Amazon Route 53 作為 DNS。該網站的需求不斷增⻑，來⾃世界各地。公司必須減少造訪網站的使⽤者的延遲。哪種解決⽅案最經濟有效率地滿⾜這些要求？,, 將包含網站的 S3 儲存桶複製到所有 AWS 區域。新增 Route 53 地理位置路由條⽬。, 在 AWS Global Accelerator 中配置加速器。將提供的 IP 位址與 S3 儲存桶關聯。編輯 Route 53 條⽬以指向加速器的 IP 位址。, 在 S3 儲存桶前⾯新增 Amazon CloudFront 分配。編輯 Route 53 條⽬以指向 CloudFront 分配。, 在儲存桶上啟⽤ S3 傳輸加速。編輯 Route 53 條⽬以指向新端點。
問題#39⼀家公司在其網站上維護⼀個可搜尋的專案儲存庫。資料儲存在包含超過 1000 萬⾏的 Amazon RDS for MySQL 資料庫表中。此資料庫具有 2 TB 通⽤ SSD 儲存。該公司的網站每天都會有數百萬個針對這些數據的更新。該公司注意到某些插入操作需要 10 秒或更⻑時間。該公司已確定資料庫儲存效能存在問題。哪種解決⽅案可以解決此效能問題？,, 將儲存類型變更為預先配置 IOPS SSD。, 將資料庫執⾏個體變更為記憶體最佳化實例類別。, 將資料庫執⾏個體變更為突發性能實例類別。, 透過 MySQL 本機非同步複製啟⽤多可⽤區 RDS 唯讀副本。
問題#40⼀家公司擁有數千台邊緣設備，每天總共產⽣ 1 TB 的狀態警報。每個警報的⼤⼩約為 2 KB。解決⽅案架構師需要實施⼀個解決⽅案來提取和儲存警報以供將來分析。該公司需要⼀個⾼度可⽤的解決⽅案。然⽽，該公司需要最⼤限度地降低成本，並且不想管理額外的基礎設施。此外，該公司希望保留 14 天的數據以供立即分析，並對任何超過 14 天的數據進⾏存檔。滿⾜這些要求的最⾼效的營運解決⽅案是什麼？,, 建立 Amazon Kinesis Data Firehose 傳輸流以提取警報。配置 Kinesis Data Firehose 流以將警報傳送到 Amazon S3 儲存桶。設定 S3⽣命週期配置以在 14 天後將資料傳輸到 Amazon S3 Glacier。, 跨兩個可⽤區啟動 Amazon EC2 實例，並將它們放置在彈性負載平衡器後⾯以接收警報。在 EC2 執⾏個體上建立⼀個腳本，將警報儲存在 Amazon S3 儲存桶中。設定 S3 ⽣命週期配置以在 14 天後將資料傳輸到 Amazon S3 Glacier。, 建立 Amazon Kinesis Data Firehose 傳輸流以提取警報。配置 Kinesis Data Firehose 流以將警報傳送到 Amazon OpenSearch Service(Amazon Elasticsearch Service) 叢集。設定 Amazon OpenSearch Service (Amazon Elasticsearch Service) 叢集以每天⼿動拍攝快照並從叢集中刪除超過 14 天的資料。, 建立 Amazon Simple Queue Service (Amazon SQS) 標準佇列來提取警報，並將訊息保留期設為 14 天。配置消費者輪詢SQS隊列，檢查訊息的年齡，並根據需要分析訊息資料。如果訊息已存在 14 天，則使⽤者應將訊息複製到 Amazon S3 儲存桶並從 SQS 佇列中刪除該訊息。
問題#41本公司的應⽤程式與多個軟體即服務 (SaaS) 來源整合以進⾏資料收集。該公司運⾏ Amazon EC2 執⾏個體來接收資料並將資料上傳到 Amazon S3 儲存桶以供分析。接收和上傳資料的相同 EC2 執⾏個體也會在上傳完成時向使⽤者發送通知。該公司注意到應⽤程式效能緩慢，並希望盡可能提⾼效能。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 建立 Auto Scaling 群組，以便 EC2 執⾏個體可以橫向擴展。設定 S3 事件通知，以便在上傳⾄ S3 儲存桶完成時將事件傳送⾄Amazon Simple Notication Service (Amazon SNS) 主題。, 建立 Amazon AppFlow 流以在每個 SaaS 來源和 S3 儲存桶之間傳輸資料。設定 S3 事件通知，以便在上傳⾄ S3 儲存桶完成時將事件傳送⾄ Amazon Simple Notication Service (Amazon SNS) 主題。, 為每個 SaaS 來源建立 Amazon EventBridge (Amazon CloudWatch Events) 規則以傳送輸出資料。將 S3 儲存桶配置為規則的⽬標。建立第⼆個 EventBridge（Cloud Watch Events）規則，以便在上傳到 S3 儲存桶完成時發送事件。將 Amazon Simple NoticationService (Amazon SNS) 主題配置為第⼆條規則的⽬標。, 建立⼀個 Docker 容器來取代 EC2 執⾏個體。在 Amazon Elastic Container Service (Amazon ECS) 上託管容器化應⽤程式。配置Amazon CloudWatch Container Insights 以在上傳到 S3 儲存桶完成時將事件傳送⾄ Amazon Simple Notication Service (Amazon SNS) 主題。
問題 #42⼀家公司在單⼀ VPC 中的 Amazon EC2 執⾏個體上執⾏⾼度可⽤的影像處理應⽤程式。EC2 執⾏個體在多個可⽤區的多個⼦網路內運作。EC2 執⾏個體之間不進⾏通訊。但是，EC2 執⾏個體會從 Amazon S3 下載映像並透過單⼀ NAT 閘道將映像上傳到 Amazon S3。該公司擔⼼數據傳輸費⽤。公司避免區域資料傳輸費⽤的最具成本效益的⽅法是什麼？,, 在每個可⽤區啟動 NAT 閘道。, 將 NAT 閘道替換為 NAT 實例。, 為 Amazon S3 部署閘道 VPC 終端節點。, 配置 EC2 專⽤主機來執⾏ EC2 執⾏個體。
問題 #43⼀家公司有⼀個本地應⽤程序，該應⽤程式會產⽣⼤量時間敏感資料並備份到 Amazon S3。該應⽤程式已經發展壯⼤，⽤⼾抱怨網路頻寬限制。解決⽅案架構師需要設計⼀個⻑期解決⽅案，既可以及時備份到 Amazon S3，⼜可以將對內部使⽤者的網路連線的影響降⾄最低。哪種解決⽅案滿⾜這些要求？,, 建立 AWS VPN 連線並透過 VPC 閘道終端節點代理所有流量。, 建立新的 AWS Direct Connect 連線並透過此新連線直接備份流量。, 每⽇訂購 AWS Snowball 設備。每天將資料載入到 Snowball 裝置上並將裝置傳回 AWS。, 透過 AWS 管理主控台提交⽀援票證。請求從帳⼾中刪除 S3 服務限制。
問題 #44⼀家公司有⼀個包含關鍵資料的 Amazon S3 儲存桶。公司必須保護資料免於意外刪除。解決⽅案架構師應該採取哪些步驟組合來滿⾜這些要求？（選兩個。）,, 在 S3 儲存桶上啟⽤版本控制。, 在 S3 儲存桶上啟⽤ MFA 刪除。, 在 S3 儲存桶上建立儲存桶策略。, 在 S3 儲存桶上啟⽤預設加密。E. 為 S3 儲存桶中的物件建立⽣命週期策略。
問題#45⼀家公司的資料擷取⼯作流程由以下部分組成：• ⽤於新資料傳輸通知的 Amazon Simple Notication Service (Amazon SNS) 主題• ⽤於處理資料和記錄元資料的 AWS Lambda 函數該公司觀察到擷取⼯作流程失敗有時是因為網路連線問題。當發⽣此類故障時，Lambda 函數不會攝取相應的數據，除非公司⼿動重新執⾏作業。解決⽅案架構師應採取哪種操作組合來確保 Lambda 函數將來攝取所有資料？（選兩個。）,, 在多個可⽤區中部署 Lambda 函數。, 建立 Amazon Simple Queue Service (Amazon SQS) 佇列，並將其訂閱到 SNS 主題。, 增加分配給 Lambda 函數的 CPU 和記憶體。, 增加 Lambda 函數的預先設定吞吐量。E. 修改 Lambda 函數以從 Amazon Simple Queue Service (Amazon SQS) 佇列讀取。
問題 #46⼀家公司有⼀個為商店提供⾏銷服務的應⽤程式。這些服務是基於商店顧客之前的購買情況。商店透過SFTP將交易資料上傳到公司，資料經過處理和分析以產⽣新的⾏銷報價。某些檔案的⼤⼩可能超過 200 GB。最近，該公司發現⼀些商店上傳的文件包含不應包含的個⼈識別資訊（PII）。該公司希望如果 PII 再次被分享，管理員會收到警報。該公司還希望實現⾃動化修復。解決⽅案架構師應該如何做才能以最少的開發⼯作來滿⾜這些要求？,, 使⽤ Amazon S3 儲存桶作為安全傳輸點。使⽤ Amazon Inspector 掃描儲存桶中的物件。如果物件包含 PII，則觸發 S3 ⽣命週期策略以刪除包含 PII 的物件。, 使⽤ Amazon S3 儲存桶作為安全傳輸點。使⽤ Amazon Macie 掃描儲存桶中的物件。如果物件包含 PII，請使⽤ Amazon SimpleNotication Service (Amazon SNS) 觸發向管理員傳送的通知，以刪除包含 PII 的物件。, 在 AWS Lambda 函數中實作⾃訂掃描演算法。當物件載入到桶中時觸發該函數。如果物件包含 PII，請使⽤ Amazon SimpleNotication Service (Amazon SNS) 觸發向管理員傳送的通知，以刪除包含 PII 的物件。, 在 AWS Lambda 函數中實作⾃訂掃描演算法。當物件載入到桶中時觸發該函數。如果物件包含 PII，請使⽤ Amazon Simple EmailService (Amazon SES) 觸發向管理員發送的通知，並觸發 S3 ⽣命週期策略以刪除包含 PII 的內容。
問題 #47⼀家公司需要在特定 AWS 區域的三個特定可⽤區中保證 Amazon EC2 容量，以應對即將舉⾏的持續 1 週的活動。公司該如何保證EC2容量？,, 購買指定所需區域的預留實例。, 建立指定所需區域的按需容量預留。, 購買指定所需區域和三個可⽤區的預留實例。, 建立指定所需區域和三個可⽤區的按需容量預留。
